Final Grade Report for ENR 261 Spring 2010

Mean Numerical Grade = 77.2, Standard Deviation = 7.2

Student Tutorial  Program  Quiz  Portfolio  Presentation    Course    Letter
Number    Ave       Ave     Ave     Ave          Ave          Ave     Grade 
10101      94        91      54      84           96         76.0      C
10102      93        55      70      78           92         73.9      C
10103      96        59      56      91           93         71.7      D
10104      98        58      85      73           89         80.6      C
10105      96        93      89      92           85         91.5      A
10106      99        47      61      88           87         71.2      D
10107      96        67      74      90           89         80.2      C
10108      93        77      72      80           92         79.4      C
10109      92        79      63      69           94         74.5      C
10110      68        33      68      60           45         58.7      F
10111      96        56      58      90           87         71.5      D
10112      98        47      89      88           93         82.5      B
10113      93        82      84      82           89         85.3      B
10114      95        85      66      91           94         80.8      C
10115      95        85      58      86           91         76.7      C
10116      91        99      77      93           92         87.3      B
10117      97        76      62      88           88         77.0      C
10118      95        20      81      84           91         72.5      D
10119      93        53      62      77           91         70.1      D
10120      98        65      69      97           92         79.3      C
10121      96        95      91      95           92         93.4      A
10122      95        70      75      86           91         80.5      C
10123      92        79      84      88           86         85.3      B
10124      94        45      67      87           92         72.3      D
10125      97        69      72      83           96         79.3      C
10126      95        59      74      81           93         77.2      C
10127      93        55      61      73           97         69.8      D
10128      95        66      71      84           90         77.7      C
10129      95        79      69      77           90         78.5      C
10130      93        76      52      92           91         73.0      D
10131      94        56      63      91           91         73.4      D
10132      95        43      62      71           65         66.3      F
10133     100        63      77      79           89         79.7      C
10134      70        54      49      76           92         60.4      F
10135      97        45      63      79           97         70.3      D
10136      96        72      66      72           91         75.3      C
10137      97        53      66      94           93         75.2      C
10138      95        81      65      88           86         78.7      C
10139      95        63      77      86           90         79.8      C
10140      92        60      45      73           94         64.1      F
10141      98        76      60      94           96         77.7      C
10142      93        87      75      97           94         85.3      B
10143      95        69      74      86           90         79.8      C
10144      96        95      90      98           95         93.7      A
10145      96        75      81      79           90         82.9      B
10146      95        46      90      85           88         81.4      B
10147      98        66      68      94           92         78.7      C
10148      96        78      62      74           92         75.3      C
10149      93        65      85      77           93         81.8      B
10150      94        72      54      79           95         71.4      D
